graph_size,run,augmentation_ratio,requested_loose_edges,original_objective,two_phase_objective,interleaved_objective,two_phase_improvement_vs_original,interleaved_improvement_vs_original,original_runtime_ms,two_phase_runtime_ms,interleaved_runtime_ms,two_phase_runtime_ratio_vs_original,interleaved_runtime_ratio_vs_original,original_move_operations,two_phase_move_operations,interleaved_move_operations,two_phase_replication_operations,interleaved_replication_operations,two_phase_final_replica_count,interleaved_final_replica_count,original_firstfit_objective,two_phase_firstfit_objective,interleaved_firstfit_objective,original_firstfit_improvement_vs_original,two_phase_firstfit_improvement_vs_original,interleaved_firstfit_improvement_vs_original,two_phase_firstfit_improvement_vs_original_firstfit,interleaved_firstfit_improvement_vs_original_firstfit,original_firstfit_runtime_ms,two_phase_firstfit_runtime_ms,interleaved_firstfit_runtime_ms,original_firstfit_runtime_ratio_vs_original,two_phase_firstfit_runtime_ratio_vs_original,interleaved_firstfit_runtime_ratio_vs_original,two_phase_firstfit_runtime_ratio_vs_original_firstfit,interleaved_firstfit_runtime_ratio_vs_original_firstfit,original_firstfit_move_operations,two_phase_firstfit_move_operations,interleaved_firstfit_move_operations,two_phase_firstfit_replication_operations,interleaved_firstfit_replication_operations,two_phase_firstfit_final_replica_count,interleaved_firstfit_final_replica_count
50,10,0.1,5,1943.95,1911.02,1911.02,0.0169361,0.0169361,53,131,246,2.4717,4.64151,16,16,16,1,1,1,1,1943.95,1906.34,1895.24,0,0.0193472,0.025055,0.0193472,0.025055,20,53,77,0.377358,1,1.45283,2.65,3.85,16,16,17,2,2,2,2
50,1,0.2,10,1746.48,1746.48,1746.48,0,0,75,118,207,1.57333,2.76,16,16,16,0,0,0,0,1746.48,1746.48,1746.48,0,0,0,0,0,13,20,26,0.173333,0.266667,0.346667,1.53846,2,16,16,16,0,0,0,0
50,2,0.2,10,1583.67,1574.9,1574.9,0.00553674,0.00553674,187,331,792,1.77005,4.23529,23,23,23,1,1,1,1,1583.67,1574.9,1574.9,0,0.00553674,0.00553674,0.00553674,0.00553674,58,51,47,0.31016,0.272727,0.251337,0.87931,0.810345,23,23,23,1,1,1,1
50,3,0.2,10,2163.46,2163.46,2163.46,0,0,79,175,307,2.21519,3.88608,16,16,16,0,0,0,0,2163.46,2163.46,2163.46,0,0,0,0,0,23,44,79,0.291139,0.556962,1,1.91304,3.43478,16,16,16,0,4,0,5
50,4,0.2,10,1592.04,1592.04,1592.04,0,0,42,101,209,2.40476,4.97619,10,10,10,0,0,0,0,1592.04,1592.04,1592.04,0,0,0,0,0,22,41,121,0.52381,0.97619,2.88095,1.86364,5.5,10,10,10,0,0,0,0
50,5,0.2,10,2252.96,2248.27,2248.27,0.00208034,0.00208034,86,145,291,1.68605,3.38372,17,17,17,2,2,2,2,2252.96,2248.27,2248.27,0,0.00208034,0.00208034,0.00208034,0.00208034,13,33,34,0.151163,0.383721,0.395349,2.53846,2.61538,17,17,17,2,2,2,2
50,6,0.2,10,1436.98,1375.36,1375.36,0.0428851,0.0428851,33,121,226,3.66667,6.84848,13,13,13,3,3,3,3,1460.9,1404.97,1404.97,-0.0166457,0.022277,0.022277,0.0382854,0.0382854,5,30,33,0.151515,0.909091,1,6,6.6,13,13,15,2,3,2,2
50,7,0.2,10,1644.23,1616.86,1616.86,0.0166459,0.0166459,86,200,344,2.32558,4,13,13,12,3,2,4,3,1674.76,1622.2,1622.2,-0.0185695,0.0133997,0.0133997,0.0313864,0.0313864,35,74,133,0.406977,0.860465,1.54651,2.11429,3.8,18,18,18,2,2,3,3
50,8,0.2,10,2148.27,2128.17,2122.6,0.00935604,0.0119518,115,120,265,1.04348,2.30435,9,9,10,1,1,3,3,2148.27,2128.17,2122.6,0,0.00935604,0.0119518,0.00935604,0.0119518,34,57,70,0.295652,0.495652,0.608696,1.67647,2.05882,11,11,14,1,3,3,2
50,9,0.2,10,1338.41,1316.33,1302.84,0.0164939,0.0265708,99,236,278,2.38384,2.80808,17,17,11,2,1,2,1,1445.26,1401.54,1401.54,-0.0798364,-0.0471738,-0.0471738,0.0302477,0.0302477,28,54,67,0.282828,0.545455,0.676768,1.92857,2.39286,12,12,12,2,2,2,2
